observation_id,species_name,common_name,date_observed,location,image_url,notes,observed_count
272853924,Rhesus Macaque,Rhesus Macaque,2025-04-25,"33.7298559722,73.0526689722",https://inaturalist-open-data.s3.amazonaws.com/photos/490891760/square.jpeg,,25
272853638,eucalyptus,eucalyptus,2025-04-25,"33.7288848,73.0477628997",https://inaturalist-open-data.s3.amazonaws.com/photos/490891202/square.jpeg,,1
272853053,palms,palms,2025-04-25,"33.72925,73.049507",https://inaturalist-open-data.s3.amazonaws.com/photos/490890124/square.jpeg,,3
272852611,Be-still tree,Be-still tree,2025-04-25,"33.7293487,73.0502374997",https://inaturalist-open-data.s3.amazonaws.com/photos/490889568/square.jpeg,,1
272852380,Rhesus Macaque,Rhesus Macaque,2025-04-25,"33.729751,73.0520999722",https://inaturalist-open-data.s3.amazonaws.com/photos/490889037/square.jpeg,,25
272843730,Brown Rock Chat,Brown Rock Chat,2025-04-25,"33.7286967,73.0469954",https://inaturalist-open-data.s3.amazonaws.com/photos/490872625/square.jpeg,,1
272676247,grasses,grasses,2025-04-24,"33.7583015018,73.1684162532",https://static.inaturalist.org/photos/490574816/square.jpeg,,6
272627453,Stilt Bugs,Stilt Bugs,2025-04-24,"33.7838985463,73.1750195376",https://static.inaturalist.org/photos/490486888/square.jpeg,,4
272624025,Attagenini,No common name,2025-04-24,"33.779168914,73.0363654304",https://static.inaturalist.org/photos/490479841/square.jpeg,Id: inaturalist (pretty sure) - Attagenus (genus),1
272411007,"sunflowers, daisies, asters, and allies","sunflowers, daisies, asters, and allies",2025-04-23,"33.7899572436,73.1460462811",https://static.inaturalist.org/photos/490121001/square.jpeg,"Id: inaturalist (pretty sure) - Cirisum (genus)

Flora incognita - Cirisum arvense 98%

Native (https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:195034-1)",10
272243740,lantanas,lantanas,2025-04-22,"33.7947488421,73.0335140019",https://static.inaturalist.org/photos/489799050/square.jpeg,,1
272242666,Indian Cabbage White,Indian Cabbage White,2025-04-21,"33.7376385171,73.0491915186",https://static.inaturalist.org/photos/489772975/square.jpg,,1
272240823,monocots,monocots,2025-04-22,"33.7294021843,73.1006865343",https://static.inaturalist.org/photos/489770389/square.jpeg,,8
272240621,Insects,Insects,2025-04-22,"33.784509472,73.0004006663",https://static.inaturalist.org/photos/489770092/square.jpeg,Id: inaturalist (pretty sure) - Amata (genus),32
272236607,monocots,monocots,2025-04-22,"33.7993341795,73.0942548242",https://static.inaturalist.org/photos/489778032/square.jpeg,"Id: inaturalist (pretty sure) - Bromus (genus)

Flora incognita - Bromus catharticus 99% 

: not native (https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:37001-2)",8
272235663,Dicot,No common name,2025-04-22,"33.7757723397,73.1846472733",https://static.inaturalist.org/photos/489761739/square.jpeg,"Id: inaturalist (pretty sure) - Vicia (genus)

https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:525117-1",5
272228390,Common Shot Silverline,Common Shot Silverline,2025-04-21,"33.763802494,73.0804065834",https://static.inaturalist.org/photos/489748329/square.jpg,,2
272223963,Old World Swallowtail,Old World Swallowtail,2025-04-18,"33.7393356887,73.0673667913",https://static.inaturalist.org/photos/489739250/square.jpg,,1
272219621,Little Orange-Tip,Little Orange-tip,2025-04-19,"33.7377301486,73.0489337907",https://static.inaturalist.org/photos/489733427/square.jpg,,1
272032974,Chocolate Pansy,Chocolate Pansy,2025-04-17,"33.7465465878,73.0860465163",https://static.inaturalist.org/photos/489382961/square.jpg,,3
272030254,Club Beak,Club Beak,2025-04-17,"33.7460640959,73.086083597",https://static.inaturalist.org/photos/489377697/square.jpg,,3
272029797,Pea Blue,Pea Blue,2025-04-17,"33.7460559721,73.0860453565",https://static.inaturalist.org/photos/489376853/square.jpg,,6
272029176,Pioneer White,Pioneer White,2025-04-17,"33.7464950065,73.0862108095",https://static.inaturalist.org/photos/489374880/square.jpg,,6
271854884,Arthropods,Arthropods,2025-04-21,"33.7914736934,73.1702342901",https://static.inaturalist.org/photos/489043176/square.jpeg,,8
271741234,Yellow Pansy,Yellow Pansy,2025-04-17,"33.7464575668,73.0860857267",https://static.inaturalist.org/photos/488827389/square.jpg,,5
271707004,Common Leopard,Common Leopard,2025-04-17,"33.7467808444,73.0860310054",https://static.inaturalist.org/photos/488764471/square.jpg,,9
271706838,Blue Pansy,Blue Pansy,2025-04-17,"33.7461168035,73.0859758756",https://static.inaturalist.org/photos/488764119/square.jpg,,8
271706587,Himalayan Brimstone,Himalayan Brimstone,2025-04-17,"33.746994202,73.0862227976",https://static.inaturalist.org/photos/488763548/square.jpg,,3
271607617,Coridius,No common name,2025-04-20,"33.7852434075,73.0147339773",https://static.inaturalist.org/photos/488578182/square.jpeg,Id: inaturalist (pretty sure) - Coridius (genus),2
271341382,"Whites, Yellows, and Sulphurs","Whites, Yellows, and Sulphurs",2025-04-17,"33.7586310459,73.1322536605",https://static.inaturalist.org/photos/488077080/square.jpeg,Id: inaturalist (pretty sure) - Pieris (genus),1
271255598,Hill Hedge Blue,Hill Hedge Blue,2025-04-17,"33.7459455507,73.0860762492",https://static.inaturalist.org/photos/487910343/square.jpg,,2
271254501,Yellow-spotted Angle,Yellow-spotted Angle,2025-04-17,"33.7461263924,73.086079916",https://static.inaturalist.org/photos/487908860/square.jpg,,1
271253290,Veined Pierrot,Veined Pierrot,2025-04-08,"33.7460863799,73.0860388897",https://static.inaturalist.org/photos/487905658/square.jpg,,1
271215490,Dragonflies and Damselflies,Dragonflies and Damselflies,2025-04-18,"33.7754772097,73.1130258972",https://static.inaturalist.org/photos/487838995/square.jpeg,Id: inaturalist (pretty sure) - Libellago (genus),2
271203583,Lebbek Borer,Lebbek Borer,2025-04-18,"33.7380029722,73.048786",https://inaturalist-open-data.s3.amazonaws.com/photos/487817475/square.jpeg,,1
271203542,Little Orange-tip,Little Orange-tip,2025-04-18,"33.7384989997,73.0480306997",https://inaturalist-open-data.s3.amazonaws.com/photos/487817417/square.jpeg,,1
271203473,Vestal,Vestal,2025-04-18,"33.8400833,73.2029157997",https://inaturalist-open-data.s3.amazonaws.com/photos/487817281/square.jpeg,,1
271203427,spurges,spurges,2025-04-18,"33.8385898,73.2026008997",https://inaturalist-open-data.s3.amazonaws.com/photos/487817226/square.jpeg,,2
271203155,Dropwings,Dropwings,2025-04-18,"33.838368,73.2039194997",https://inaturalist-open-data.s3.amazonaws.com/photos/487816794/square.jpeg,,2
271203118,Chocolate Pansy,Chocolate Pansy,2025-04-18,"33.8379984997,73.2076438997",https://inaturalist-open-data.s3.amazonaws.com/photos/487816642/square.jpeg,,3
271203070,pomegranate,pomegranate,2025-04-18,"33.8377728,73.2071365",https://inaturalist-open-data.s3.amazonaws.com/photos/487816578/square.jpeg,,2
271203026,Oriental Garden Lizard,Oriental Garden Lizard,2025-04-18,"33.8387557,73.2056180997",https://inaturalist-open-data.s3.amazonaws.com/photos/487816447/square.jpeg,,1
271202964,Painted Lady,Painted Lady,2025-04-18,"33.8387603997,73.2056623997",https://inaturalist-open-data.s3.amazonaws.com/photos/487816362/square.jpeg,,2
271202855,Common Punch,Common Punch,2025-04-18,"33.8380623997,73.2049109997",https://inaturalist-open-data.s3.amazonaws.com/photos/487816228/square.jpeg,,6
271202755,Watercresses,Watercresses,2025-04-18,"33.8380410997,73.2048704",https://inaturalist-open-data.s3.amazonaws.com/photos/487816146/square.jpeg,,2
271202714,ribwort plantain,ribwort plantain,2025-04-18,"33.8379875997,73.2046541997",https://inaturalist-open-data.s3.amazonaws.com/photos/487816024/square.jpeg,,1
271202654,Dropwings,Dropwings,2025-04-18,"33.8379880997,73.2045377997",https://inaturalist-open-data.s3.amazonaws.com/photos/487815885/square.jpeg,,2
271202598,Skimmers,Skimmers,2025-04-18,"33.8399655997,73.2025375",https://inaturalist-open-data.s3.amazonaws.com/photos/487815767/square.jpeg,,2
271202393,Golden Mahseer,Golden Mahseer,2025-04-18,"33.8219658926,73.2281737171",https://inaturalist-open-data.s3.amazonaws.com/photos/487815453/square.jpeg,,1
271202363,Yellow-flowered strawberry,mock strawberry,2025-04-18,"33.8422849997,73.2024344",https://inaturalist-open-data.s3.amazonaws.com/photos/487815402/square.jpeg,,1
271202340,Jewel Five-ring,Jewel Five-ring,2025-04-18,"33.8422946,73.2026629",https://inaturalist-open-data.s3.amazonaws.com/photos/487815317/square.jpeg,,2
271202279,Chir pine,Chir pine,2025-04-18,"33.784319,73.1107693",https://inaturalist-open-data.s3.amazonaws.com/photos/487815211/square.jpeg,,4
271202173,Pygmy Skipper,Pygmy Skipper,2025-04-18,"33.7471389,73.0863207",https://inaturalist-open-data.s3.amazonaws.com/photos/487814993/square.jpeg,,1
271202102,Holly Blue,Holly Blue,2025-04-18,"33.7471879,73.0862759997",https://inaturalist-open-data.s3.amazonaws.com/photos/487814819/square.jpeg,,1
271202016,Ischiodon,No common name,2025-04-18,"33.7470783997,73.0861802",https://inaturalist-open-data.s3.amazonaws.com/photos/487814611/square.jpeg,,2
271201871,Holarctic Azures,Holarctic Azures,2025-04-18,"33.7471202997,73.0862122997",https://inaturalist-open-data.s3.amazonaws.com/photos/487814234/square.jpeg,,1
271201826,Club Beak,Club Beak,2025-04-18,"33.7471237997,73.0862111997",https://inaturalist-open-data.s3.amazonaws.com/photos/487814149/square.jpeg,,3
271201654,Pea Blue,Pea Blue,2025-04-18,"33.7471906997,73.0862608",https://inaturalist-open-data.s3.amazonaws.com/photos/487813911/square.jpeg,,6
271201575,Blue Pansy,Blue Pansy,2025-04-18,"33.7472946997,73.0863401997",https://inaturalist-open-data.s3.amazonaws.com/photos/487813820/square.jpeg,,8
271201416,Plautia,No common name,2025-04-18,"33.7503772997,73.0865564",https://inaturalist-open-data.s3.amazonaws.com/photos/487813588/square.jpeg,,1
271201341,palms,palms,2025-04-18,"33.7590786,73.0804138",https://inaturalist-open-data.s3.amazonaws.com/photos/487813452/square.jpeg,,3
271201267,Papilio polyctor,No common name,2025-04-18,"33.7618537,73.0809854",https://inaturalist-open-data.s3.amazonaws.com/photos/487813319/square.jpeg,,5
271201166,Common Punch,Common Punch,2025-04-18,"33.7618507997,73.0810105997",https://inaturalist-open-data.s3.amazonaws.com/photos/487884694/square.jpeg,,6
271201054,Lasioglossum,No common name,2025-04-18,"33.7618421997,73.0810242",https://inaturalist-open-data.s3.amazonaws.com/photos/487884650/square.jpeg,,1
271201005,Tricolour Pied Flat,Tricolour Pied Flat,2025-04-18,"33.7618614,73.0809885997",https://inaturalist-open-data.s3.amazonaws.com/photos/487884533/square.jpeg,,1
271200962,Cornelian,Cornelian,2025-04-18,"33.7593241,73.0805103",https://inaturalist-open-data.s3.amazonaws.com/photos/487884474/square.jpeg,,5
271200897,Typical Hover Flies,Typical Hover Flies,2025-04-18,"33.7589577,73.0806484",https://inaturalist-open-data.s3.amazonaws.com/photos/487884348/square.jpeg,,1
271200867,flowering plants,flowering plants,2025-04-18,"33.7589827997,73.0806242997",https://inaturalist-open-data.s3.amazonaws.com/photos/487844710/square.jpeg,,14
271200832,Litter Moths,Litter Moths,2025-04-18,"33.7589998997,73.0806225997",https://inaturalist-open-data.s3.amazonaws.com/photos/487812891/square.jpeg,,1
271200806,Erebinae,No common name,2025-04-18,"33.7590023997,73.0806292",https://inaturalist-open-data.s3.amazonaws.com/photos/487844650/square.jpeg,,1
271200783,Aphid Hoverflies,Aphid Hoverflies,2025-04-18,"33.7590053997,73.0806314997",https://inaturalist-open-data.s3.amazonaws.com/photos/487844509/square.jpeg,,2
271200746,Giant Honey Bee,Giant Honey Bee,2025-04-18,"33.7590168997,73.0806223997",https://inaturalist-open-data.s3.amazonaws.com/photos/487844465/square.jpeg,,2
271200733,Asian Honey Bee,Asian Honey Bee,2025-04-18,"33.7590168997,73.0806228",https://inaturalist-open-data.s3.amazonaws.com/photos/487844287/square.jpeg,,6
271200679,Blue Eranthemum,Blue Eranthemum,2025-04-18,"33.7574619997,73.0818222997",https://inaturalist-open-data.s3.amazonaws.com/photos/487844125/square.jpeg,,3
271200663,Indian Squirrel Tail,Indian Squirrel Tail,2025-04-18,"33.7563784997,73.0832979",https://inaturalist-open-data.s3.amazonaws.com/photos/487844083/square.jpeg,,3
271200629,Blue Eranthemum,Blue Eranthemum,2025-04-18,"33.7560694,73.0837544",https://inaturalist-open-data.s3.amazonaws.com/photos/487812429/square.jpeg,,3
271200607,Lepidagathis,No common name,2025-04-18,"33.7553696,73.0846398997",https://inaturalist-open-data.s3.amazonaws.com/photos/487843997/square.jpeg,,1
271200548,Kamala,Kamala,2025-04-18,"33.7522866997,73.0857558997",https://inaturalist-open-data.s3.amazonaws.com/photos/487812277/square.jpeg,,4
271200485,Bush Plum,Bush Plum,2025-04-18,"33.7519855997,73.0860811",https://inaturalist-open-data.s3.amazonaws.com/photos/487812219/square.jpeg,,4
271200415,Malabar nut,Malabar nut,2025-04-18,"33.7513264,73.0865588997",https://inaturalist-open-data.s3.amazonaws.com/photos/487812114/square.jpeg,,2
271200368,Fire-flame bush,Fire-flame bush,2025-04-18,"33.7501462997,73.0864602997",https://inaturalist-open-data.s3.amazonaws.com/photos/487811988/square.jpeg,,1
271199256,Gum Acacia,Gum Acacia,2025-04-18,"33.7488315,73.0857981",https://inaturalist-open-data.s3.amazonaws.com/photos/487811948/square.jpeg,,1
271199217,Orchid Trees,Orchid Trees,2025-04-18,"33.7481409,73.0859994",https://inaturalist-open-data.s3.amazonaws.com/photos/487810012/square.jpeg,,1
271199110,legumes,legumes,2025-04-18,"33.7478728997,73.086498",https://inaturalist-open-data.s3.amazonaws.com/photos/487809720/square.jpeg,,4
271199037,Handmaidens,Handmaidens,2025-04-18,"33.7580439722,73.0816339722",https://inaturalist-open-data.s3.amazonaws.com/photos/487809513/square.jpeg,,1
271199011,roses,roses,2025-04-18,"33.7477178997,73.0865014997",https://inaturalist-open-data.s3.amazonaws.com/photos/487809459/square.jpeg,,7
271170512,Common Baron,Common Baron,2025-04-17,"33.7457425539,73.0862077995",https://static.inaturalist.org/photos/487755535/square.jpg,,2
271043645,Pale Grass Blue,Pale Grass Blue,2025-03-07,"33.7596348996,73.0534973861",https://static.inaturalist.org/photos/487508897/square.jpg,,9
